485-40-2594,"M,T-",LINN GROVE,IOWA,51033,MALE,NON-HISPANIC,WHITE,01/30/1989     
480-69-9767,"J,DN",CEDAR RAPIDS,IOWA,52410,FEMALE,NON-HISPANIC,WHITE,09/16/1957 
929-59-2972,"R,JJ",MENLO,IOWA,50164,FEMALE,NON-HISPANIC,BLACK,07/02/1992        
482-43-1761,"B,MG",CEDAR RAPIDS,IOWA,52409,MALE,HISPANIC,WHITE,01/23/1955       
446-94-7129,"F,BC",DES MOINES,IOWA,50308,MALE,NON-HISPANIC,WHITE,07/09/1941     
482-05-4392,"S,TL",DES MOINES,IOWA,50319,MALE,NON-HISPANIC,WHITE,04/20/1944     
478-27-4277,"W,SS",DES MOINES,IOWA,50301,MALE,NON-HISPANIC,WHITE,08/18/1968     
372-64-5572,"S,TL",AUDUBON,IOWA,50025,FEMALE,NON-HISPANIC,WHITE,05/12/1989      
483-38-2296,"M,NL",CAMBRIDGE,IOWA,50046,FEMALE,NON-HISPANIC,WHITE,01/22/1973    
482-20-2953,"R,MG",LITTLE SIOUX,IOWA,51545,MALE,NON-HISPANIC,WHITE,03/11/1941   
491-63-9063,"J,FW",CEDAR RAPIDS,IOWA,52402,FEMALE,NON-HISPANIC,WHITE,03/11/1937 
927-30-2241,"J,CL",URBANDALE,IOWA,50323,MALE,NON-HISPANIC,WHITE,06/26/1960      
482-59-0441,"J,KN",CORALVILLE,IOWA,52241,MALE,NON-HISPANIC,WHITE,04/06/1984     
269-95-1372,"R,EL",CEDAR RAPIDS,IOWA,52407,FEMALE,HISPANIC,WHITE,03/19/1996     
351-16-6657,"R,AL",MARCUS,IOWA,51035,MALE,NON-HISPANIC,WHITE,08/10/1967         
482-61-6011,"J,AR",CONROY,IOWA,52220,MALE,NON-HISPANIC,WHITE,05/25/1956         
485-31-6202,"J,RK",DAVENPORT,IOWA,52802,FEMALE,NON-HISPANIC,WHITE,12/26/1945    
480-52-7998,"K,KY",CEDAR RAPIDS,IOWA,52408,FEMALE,NON-HISPANIC,WHITE,06/05/1978 
479-77-9908,"G,GJ",DAYTON,IOWA,50530,MALE,HISPANIC,WHITE,06/08/1993             
478-47-6754,"D,MR",NEW LIBERTY,IOWA,52765,MALE,NON-HISPANIC,WHITE,12/14/1947    
860-65-5469,"R,DG",WILLIAMS,IOWA,50271,FEMALE,NON-HISPANIC,WHITE,10/07/1989     
976-72-6395,"D,RC",ESSEX,IOWA,51638,FEMALE,NON-HISPANIC,WHITE,12/13/1981        
479-76-3618,"A,AH",MARATHON,IOWA,50565,FEMALE,NON-HISPANIC,OTHER,01/23/1987     
480-97-9814,"W,KG",DES MOINES,IOWA,50301,MALE,NON-HISPANIC,OTHER,06/30/1938     
697-18-7594,"N,CF",CEDAR RAPIDS,IOWA,52411,FEMALE,NON-HISPANIC,WHITE,03/19/1984 
479-85-4562,"B,AC",DES MOINES,IOWA,50313,MALE,HISPANIC,WHITE,02/03/1984         
483-03-1235,"B,A-",NEW PROVIDENCE,IOWA,50206,FEMALE,NON-HISPANIC,WHITE,03/16/1955                                                                               
484-87-8510,"J,KR",CEDAR RAPIDS,IOWA,52411,MALE,NON-HISPANIC,WHITE,06/04/1985                                                                                   
482-41-8137,"G,B-",DES MOINES,IOWA,50315,FEMALE,NON-HISPANIC,WHITE,04/20/1976                                                                                   
118-28-2942,"W,Y-",SIBLEY,IOWA,51249,FEMALE,NON-HISPANIC,ASIAN,05/15/1973                                                                                       
482-73-4429,"F,CA",DES MOINES,IOWA,50317,MALE,NON-HISPANIC,WHITE,04/16/1972                                                                                     
495-91-4073,"H,M-",DES MOINES,IOWA,50980,MALE,NON-HISPANIC,WHITE,04/03/1940                                                                                     
478-34-7238,"S,BP",DES MOINES,IOWA,50333,MALE,NON-HISPANIC,WHITE,10/18/1969                                                                                     
016-43-7268,"P,AS",ELY,IOWA,52227,FEMALE,NON-HISPANIC,WHITE,12/29/1988                                                                                          
